date,nav,return
2004-01-02,10000000.0,0.0
2004-01-05,10001210.562424028,0.0001210562424027728
2004-01-06,10013370.274109477,0.001215823985461828
2004-01-07,10020660.69237623,0.000728068379295177
2004-01-08,10021871.966477169,0.0001208776684615831
2004-01-09,10046193.524878798,0.0024268478466882293
2004-01-12,10052265.55227551,0.0006044107533540455
2004-01-13,10064417.435514953,0.001208870097616055
2004-01-14,10054693.082215762,-0.0009662112448631799
2004-01-15,10053484.654822463,-0.00012018540828817592
2004-01-16,10046193.5248788,-0.0007252341047903066
2004-01-20,10051048.584759295,0.00048327357704902596
2004-01-21,10057130.57563275,0.000605110085994065
2004-01-22,10064417.435514953,0.0007245466117202781
2004-01-23,10049836.598981448,-0.0014487511698444422
2004-01-26,10042541.198976323,-0.0007259222509015117
2004-01-27,10054693.082215762,0.0012100406658701601
2004-01-28,10029169.501513025,-0.002538474371523214
2004-01-29,10031604.148222372,0.00024275656214411967
2004-01-30,10036467.74822579,0.0004848277435547388
2004-02-02,10039991.260607542,0.000351070961432276
2004-02-03,10049732.694152577,0.000970263149855155
2004-02-04,10043651.414956031,-0.0006051185023143724
2004-02-05,10036336.087997425,-0.000728353330514131
2004-02-06,10052163.070800465,0.0015769681947943592
2004-02-09,10055820.378441313,0.00036383289995289836
2004-02-10,10042430.889055261,-0.0013315163638719651
2004-02-11,10058252.178443022,0.0015754441890163395
2004-02-12,10061903.79266859,0.0003630465970414498
2004-02-13,10076511.67292468,0.0014518008278645578
2004-02-17,10067992.188634237,-0.0008454795237656798
2004-02-18,10069212.714535005,0.00012122833211436479
2004-02-19,10074082.0079537,0.0004835823372433268
2004-02-20,10063122.895215537,-0.0010878522459425444
2004-02-23,10072862.905406753,0.0009678914083266488
2004-02-24,10074082.0079537,0.00012102840656091907
2004-02-25,10081379.542989556,0.0007243870985063072
2004-02-26,10077727.92876399,-0.00036221374366429693
2004-02-27,10085027.598830573,0.0007243368860703203
2004-03-01,10081738.228152232,-0.00032616377556793363
2004-03-02,10071993.947899558,-0.0009665277982982001
2004-03-03,10064677.19758713,-0.0007264450664163924
2004-03-04,10073210.915415775,0.0008478878816591262
2004-03-05,10095152.626230134,0.00217822410337698
2004-03-08,10110994.554248285,0.0015692608724893198
2004-03-09,10117089.35530612,0.0006027894709206283
2004-03-10,10110994.554248283,-0.000602426334669226
2004-03-11,10119536.81219985,0.0008448484375829235
2004-03-12,10112217.926856693,-0.0007232431166546149
2004-03-15,10107341.516668895,-0.0004822295388676734
2004-03-16,10114656.13195059,0.0007236932945851038
2004-03-17,10114656.13195059,0.0
2004-03-18,10110994.554248283,-0.0003620071364306421
2004-03-19,10114656.13195059,0.00036213823305542014
2004-03-22,10120743.816239325,0.0006018676472356876
2004-03-23,10123182.021333223,0.0002409116501878028
2004-03-24,10125623.784811674,0.00024120513424574774
2004-03-25,10124403.970587816,-0.00012046805705812069
2004-03-26,10114656.13195059,-0.000962806172644215
2004-03-29,10107341.516668895,-0.000723169941347801
2004-03-30,10106128.107537227,-0.00012005225406375164
2004-03-31,10113431.335988361,0.0007226534606945556
2004-04-01,10101231.770395948,-0.0012062736362288273
2004-04-02,10065827.267473802,-0.003504968871806957
2004-04-05,10056058.790206186,-0.0009704594573345382
2004-04-06,10068266.895921523,0.001214005006337615
2004-04-07,10070710.082753792,0.00024266210436474367
2004-04-08,10070710.082753792,0.0
2004-04-12,10060938.758778535,-0.0009702715990197452
2004-04-13,10047514.397223892,-0.0013343050660088451
2004-04-14,10030427.03461312,-0.001700655698039455
2004-04-15,10036528.952440057,0.0006083407820904885
2004-04-16,10049961.854117623,0.001338401128639255
2004-04-19,10037755.171756105,-0.0012145998700000549
2004-04-20,10014560.197903117,-0.00231077302206506
2004-04-21,10015772.183680965,0.00012102236682354217
2004-04-22,10030427.03461312,0.0014631773430342498
2004-04-23,10009673.112561667,-0.002069096557886785
2004-04-26,10010897.196846988,0.00012229013590703275
2004-04-27,10023096.762439402,0.0012186285956723442
2004-04-28,10002346.3987725,-0.0020702547484786615
2004-04-29,10001131.56628701,-0.00012145475042124598
2004-04-30,10006010.823182449,0.0004878704837645298
2004-05-03,10010408.274809767,0.00043948099847446187
2004-05-04,10007966.511331318,-0.0002439224666384021
2004-05-05,10004304.93362901,-0.0003658663024264097
2004-05-06,10001849.648289269,-0.0002454228810526704
2004-05-07,9960296.256864121,-0.004154570693057247
2004-05-10,9965184.765559388,0.0004907995273633059
2004-05-11,9966406.003137069,0.00012255041992803584
2004-05-12,9968846.343261698,0.00024485658359307827
2004-05-13,9963960.681274071,-0.0004900930177270668
2004-05-14,9979848.156614468,0.001594493981720957
2004-05-17,9993305.255306974,0.0013484271986230478
2004-05-18,9983509.734316777,-0.0009802083234667913
2004-05-19,9978629.054067519,-0.0004888741914561567
2004-05-20,9983509.734316777,0.0004891133063282815
2004-05-21,9983509.734316777,0.0
2004-05-24,9985967.154687246,0.00024614794154231845
2004-05-25,9985967.154687246,0.0
2004-05-26,10004304.93362901,0.0018363548224926696
2004-05-27,10009185.613878265,0.0004878580052922743
2004-05-28,10005518.342760678,-0.0003663905595377992
2004-06-01,9991316.830020238,-0.0014193680181212587
2004-06-02,9985204.94871656,-0.0006117192966309526
2004-06-03,9987650.982256468,0.00024496578212174214
2004-06-04,9971738.59822422,-0.0015932058559632312
2004-06-07,9975398.752572712,0.00036705277745063825
2004-06-08,9976630.665304042,0.00012349508645081997
2004-06-09,9960716.146241063,-0.0015951797352111718
2004-06-10,9959494.196986474,-0.0001226768473922002
2004-06-14,9933782.733579477,-0.002581603332303395
2004-06-15,9966838.702698395,0.0033276315785704114
2004-06-16,9959494.196986476,-0.0007368942079829521
2004-06-17,9971738.598224223,0.0012294199881608403
2004-06-18,9965616.753443804,-0.0006139195006084064
2004-06-21,9972956.989094263,0.0007365560839898144
2004-06-22,9976630.66530404,0.00036836378757021393
2004-06-23,9979081.680582318,0.00024567565548982984
2004-06-24,9988870.084803415,0.0009808922839207312
2004-06-25,9990097.727473285,0.00012290105481871372
2004-06-28,9966838.702698389,-0.0023282079324341565
2004-06-29,9976630.665304039,0.0009824542061664943
2004-06-30,10003556.249519615,0.002698865490652569
2004-07-01,10005647.1562814,0.00020901634475101183
2004-07-02,10032635.368065063,0.002697297972047652
2004-07-06,10030174.389310041,-0.0002452973386090074
2004-07-07,10031404.167010643,0.00012260780848549757
2004-07-08,10035077.843220422,0.00036621754528254336
2004-07-09,10035077.843220422,0.0
2004-07-12,10038764.329614583,0.00036736001969850385
2004-07-13,10031404.167010643,-0.0007331741599141406
2004-07-14,10027723.374031764,-0.0003669269942271347
2004-07-15,10027723.374031764,0.0
2004-07-16,10047353.558242215,0.0019575913174156856
2004-07-19,10042444.410916556,-0.0004886010328194468
2004-07-20,10024052.544529624,-0.0018314133127725896
2004-07-21,10021588.007390054,-0.0002458623524390635
2004-07-22,10024052.544529622,0.00024592281560087415
2004-07-23,10024052.544529622,0.0
2004-07-26,10016686.688510403,-0.0007348181772290907
2004-07-27,10008108.135036422,-0.0008564262555822433
2004-07-28,10014233.53820139,0.0006120440629058255
2004-07-29,10016686.688510401,0.0002449663571009175
2004-07-30,10031404.16701064,0.0014692960814199907
2004-08-02,10039137.959992368,0.0007709581682653344
2004-08-03,10041601.073778119,0.00024535112432633177
2004-08-04,10040375.566138977,-0.00012204305171437113
2004-08-05,10046514.49116524,0.0006114238442400666
2004-08-06,10082151.712436978,0.0035472224026629195
2004-08-09,10080919.799705649,-0.00012218748204406715
2004-08-10,10056345.596000943,-0.002437694594636386
2004-08-11,10072315.625862906,0.0015880549956748258
2004-08-12,10074778.739648657,0.00024454295092057876
2004-08-13,10084610.556161268,0.0009758841128608697
2004-08-16,10082151.712436978,-0.0002438213861206684
2004-08-17,10091978.547211219,0.0009746763443481132
2004-08-18,10089519.70348693,-0.00024364337605209396
2004-08-19,10095662.186897742,0.0006087983958926735
2004-08-20,10089519.70348693,-0.0006084279859108754
2004-08-23,10080919.799705649,-0.0008523600760014238
2004-08-24,10085837.487154227,0.0004878213046315416
2004-08-25,10082151.712436978,-0.00036544062126153687
2004-08-26,10091978.547211219,0.0009746763443481132
2004-08-27,10088294.9075247,-0.000365006690143721
2004-08-30,10090739.517710788,0.000242321443662874
2004-08-31,10105491.156702712,0.0014618987008863105
2004-09-01,10108201.222376255,0.00026817753155383706
2004-09-02,10092200.590407161,-0.0015829356397926153
2004-09-03,10078665.918931456,-0.0013411021069645868
2004-09-07,10078665.918931456,0.0
2004-09-08,10093438.196553772,0.001465697716457548
2004-09-09,10094672.244315833,0.00012226237858992128
2004-09-10,10097123.971271023,0.00024287335892170248
2004-09-13,10098358.730709994,0.0001222882320237595
2004-09-14,10100817.574434284,0.00024348944119134686
2004-09-15,10094672.244315833,-0.0006083992778965763
2004-09-16,10111894.82553952,0.0017061060336440725
2004-09-17,10099579.256610762,-0.00121792889871164
2004-09-20,10115579.888579858,0.0015842869848883279
2004-09-21,10100817.574434282,-0.001459364100543814
2004-09-22,10110654.372685265,0.0009738615887766588
2004-09-23,10098358.73070999,-0.0012161074369718694
2004-09-24,10092200.590407157,-0.000609815957924531
2004-09-27,10098358.73070999,0.000610188060341077
2004-09-28,10104504.060828442,0.000608547416696803
2004-09-29,10092200.590407157,-0.0012176223936591901
2004-09-30,10095895.61692424,0.0003661269397077227
2004-10-01,10088752.51577787,-0.0007075252575309277
2004-10-04,10089968.77161718,0.00012055562245261164
2004-10-05,10091204.954409972,0.00012251601771740006
2004-10-06,10082582.988644479,-0.0008544039888640498
2004-10-07,10078885.115419757,-0.0003667585209947699
2004-10-08,10104757.417808427,0.002566980582910716
2004-10-11,10112165.262765342,0.0007331046803618069
2004-10-12,10114625.529843453,0.00024329775218068228
2004-10-13,10122021.276292898,0.0007311933029674478
2004-10-14,10124485.10175556,0.00024341239712977192
2004-10-15,10120797.90368449,-0.00036418623110334725
2004-10-18,10122021.276292898,0.00012087709092223342
2004-10-19,10118328.384806547,-0.0003648373566452756
2004-10-20,10126959.602371873,0.0008530280138254742
