date,close_adj,sma200,is_bull
1996-10-14,42.2788,39.0084,1
1996-10-15,42.2225,39.0357,1
1996-10-16,42.4289,39.0635,1
1996-10-17,42.5415,39.0936,1
1996-10-18,42.7667,39.1252,1
1996-10-21,42.7104,39.1558,1
1996-10-22,42.4101,39.1881,1
1996-10-23,42.5508,39.2235,1
1996-10-24,42.185,39.2559,1
1996-10-25,42.2225,39.2888,1
1996-10-28,41.941,39.3207,1
1996-10-29,42.2788,39.3521,1
1996-10-30,42.138,39.3833,1
1996-10-31,42.5415,39.416,1
1996-11-01,42.3914,39.4467,1
1996-11-04,42.6729,39.4788,1
1996-11-05,42.9168,39.5117,1
1996-11-06,43.7425,39.5472,1
1996-11-07,43.8457,39.5839,1
1996-11-08,44.0896,39.6202,1
1996-11-11,44.0427,39.6556,1
1996-11-12,43.9114,39.6887,1
1996-11-13,44.1084,39.7209,1
1996-11-14,44.3993,39.7538,1
1996-11-15,44.4556,39.7878,1
1996-11-18,44.4649,39.8203,1
1996-11-19,44.784,39.8526,1
1996-11-20,44.859,39.8842,1
1996-11-21,44.7933,39.9134,1
1996-11-22,45.1405,39.9444,1
1996-11-25,45.7129,39.9767,1
1996-11-26,45.5628,40.0087,1
1996-11-27,45.4783,40.042,1
1996-11-29,45.6472,40.0773,1
1996-12-02,45.6659,40.1136,1
1996-12-03,44.8872,40.1478,1
1996-12-04,45.0092,40.1803,1
1996-12-05,44.8872,40.2091,1
1996-12-06,44.6245,40.2371,1
1996-12-09,45.2812,40.2712,1
1996-12-10,45.0654,40.3049,1
1996-12-11,44.6526,40.3373,1
1996-12-12,43.9114,40.3679,1
1996-12-13,44.024,40.396,1
1996-12-16,43.461,40.4203,1
1996-12-17,43.8082,40.4444,1
1996-12-18,44.1553,40.472,1
1996-12-19,45.0654,40.5032,1
1996-12-20,45.1878,40.5413,1
1996-12-23,45.0745,40.5766,1
1996-12-24,45.4047,40.6151,1
1996-12-26,45.7538,40.654,1
1996-12-27,45.8104,40.6924,1
1996-12-30,45.4142,40.7289,1
1996-12-31,44.584,40.7576,1
1997-01-02,44.6972,40.7873,1
1997-01-03,45.3387,40.8204,1
1997-01-06,44.9425,40.852,1
1997-01-07,45.4896,40.8859,1
1997-01-08,45.0934,40.9181,1
1997-01-09,45.4708,40.9513,1
1997-01-10,45.9614,40.9887,1
1997-01-13,45.8953,41.025,1
1997-01-14,46.4707,41.0651,1
1997-01-15,46.3575,41.1025,1
1997-01-16,46.5462,41.1404,1
1997-01-17,46.8293,41.1797,1
1997-01-20,46.8858,41.2194,1
1997-01-21,47.2632,41.2644,1
1997-01-22,47.6028,41.3118,1
1997-01-23,46.9425,41.3593,1
1997-01-24,46.3387,41.4041,1
1997-01-27,46.2066,41.4457,1
1997-01-28,46.3387,41.4865,1
1997-01-29,46.7915,41.529,1
1997-01-30,47.3953,41.575,1
1997-01-31,47.3387,41.6204,1
1997-02-03,47.4802,41.666,1
1997-02-04,47.7726,41.7116,1
1997-02-05,46.8764,41.7521,1
1997-02-06,47.1877,41.7949,1
1997-02-07,47.8292,41.84,1
1997-02-10,47.3764,41.8825,1
1997-02-11,47.9236,41.9276,1
1997-02-12,48.6028,41.9763,1
1997-02-13,49.1311,42.0273,1
1997-02-14,49.0179,42.081,1
1997-02-18,49.433,42.137,1
1997-02-19,49.1028,42.1916,1
1997-02-20,48.5084,42.244,1
1997-02-21,48.5273,42.2942,1
1997-02-24,49.1028,42.3473,1
1997-02-25,49.1405,42.3988,1
1997-02-26,48.6594,42.4449,1
1997-02-27,47.933,42.4861,1
1997-02-28,47.7915,42.5269,1
1997-03-03,48.1123,42.5689,1
1997-03-04,47.8481,42.6085,1
1997-03-05,48.6594,42.6508,1
1997-03-06,48.3764,42.6919,1
1997-03-07,48.8103,42.7334,1
1997-03-10,49.3198,42.7782,1
1997-03-11,49.0556,42.8209,1
1997-03-12,48.6216,42.8635,1
1997-03-13,47.8669,42.9036,1
1997-03-14,48.1123,42.944,1
1997-03-17,48.2443,42.9865,1
1997-03-18,47.7254,43.0258,1
1997-03-19,47.5651,43.063,1
1997-03-20,47.3198,43.0971,1
1997-03-21,47.5382,43.1339,1
1997-03-24,48.2011,43.1739,1
1997-03-25,47.7276,43.2122,1
1997-03-26,47.9359,43.2518,1
1997-03-27,46.667,43.2854,1
1997-03-31,45.6822,43.3141,1
1997-04-01,45.9757,43.345,1
1997-04-02,45.1519,43.372,1
1997-04-03,45.398,43.4019,1
1997-04-04,45.9662,43.4337,1
1997-04-07,46.1462,43.4665,1
1997-04-08,46.4776,43.4993,1
1997-04-09,46.0988,43.5299,1
1997-04-10,45.9283,43.5598,1
1997-04-11,44.47,43.5838,1
1997-04-14,45.0666,43.6093,1
1997-04-15,45.8337,43.638,1
1997-04-16,46.364,43.6677,1
1997-04-17,46.1746,43.6971,1
1997-04-18,46.4019,43.7281,1
1997-04-21,46.0988,43.7627,1
1997-04-22,47.112,43.8031,1
1997-04-23,47.1594,43.843,1
1997-04-24,46.9227,43.881,1
1997-04-25,46.3829,43.9202,1
1997-04-28,46.8374,43.9615,1
1997-04-29,48.3147,44.0159,1
1997-04-30,48.542,44.071,1
1997-05-01,48.4852,44.1235,1
1997-05-02,49.3564,44.1778,1
1997-05-05,50.5307,44.2394,1
1997-05-06,50.4928,44.3022,1
1997-05-07,49.3943,44.3619,1
1997-05-08,49.7352,44.4229,1
1997-05-09,50.0761,44.484,1
1997-05-12,50.9095,44.5482,1
1997-05-13,50.7011,44.6135,1
1997-05-14,50.7958,44.6774,1
1997-05-15,51.1367,44.7416,1
1997-05-16,50.436,44.7992,1
1997-05-19,50.5875,44.8533,1
1997-05-20,51.1935,44.9116,1
1997-05-21,51.0799,44.9687,1
1997-05-22,50.9095,45.0245,1
1997-05-23,51.3829,45.0829,1
1997-05-27,51.5913,45.1431,1
1997-05-28,51.5818,45.2017,1
1997-05-29,51.2787,45.2604,1
1997-05-30,51.6102,45.3201,1
1997-06-02,51.3829,45.379,1
1997-06-03,51.2125,45.4354,1
1997-06-04,51.1557,45.4914,1
1997-06-05,51.345,45.5485,1
1997-06-06,52.3489,45.6114,1
1997-06-09,52.614,45.6736,1
1997-06-10,52.775,45.7378,1
1997-06-11,52.8981,45.8035,1
1997-06-12,53.9208,45.8737,1
1997-06-13,54.3754,45.9464,1
1997-06-16,54.3943,46.0212,1
1997-06-17,54.3186,46.0976,1
1997-06-18,54.1292,46.1718,1
1997-06-19,54.6879,46.2487,1
1997-06-20,54.5023,46.327,1
1997-06-23,53.1808,46.3959,1
1997-06-24,54.5308,46.4693,1
1997-06-25,54.1505,46.5408,1
1997-06-26,53.8843,46.6099,1
1997-06-27,54.0935,46.6787,1
1997-06-30,53.7322,46.7425,1
1997-07-01,54.3596,46.8088,1
1997-07-02,55.2533,46.8799,1
1997-07-03,56.0138,46.9554,1
1997-07-07,55.4434,47.0273,1
1997-07-08,56.0233,47.1013,1
1997-07-09,55.4054,47.1723,1
1997-07-10,55.6526,47.2445,1
1997-07-11,55.8427,47.3176,1
1997-07-14,56.0138,47.3916,1
1997-07-15,56.299,47.4669,1
1997-07-16,57.0406,47.5461,1
1997-07-17,56.7553,47.6227,1
1997-07-18,55.548,47.6918,1
1997-07-21,55.5575,47.7612,1
1997-07-22,57.031,47.8352,1
1997-07-23,56.9835,47.9086,1
1997-07-24,57.2497,47.9843,1
1997-07-25,57.2117,48.0614,1
1997-07-28,57.1736,48.1387,1
1997-07-29,57.3638,48.2144,1
1997-07-30,58.0483,48.2933,1
1997-07-31,57.9913,48.3721,1
1997-08-01,57.7631,48.4488,1
1997-08-04,57.9152,48.5257,1
1997-08-05,57.9532,48.6016,1
1997-08-06,58.4285,48.6802,1
1997-08-07,57.9913,48.7581,1
1997-08-08,56.8124,48.8294,1
1997-08-11,57.2307,48.9046,1
1997-08-12,56.3181,48.9751,1
1997-08-13,56.1469,49.0462,1
1997-08-14,56.3561,49.1165,1
1997-08-15,54.6258,49.179,1
1997-08-18,55.8427,49.2455,1
1997-08-19,56.4892,49.316,1
1997-08-20,57.3448,49.3893,1
1997-08-21,56.337,49.4564,1
1997-08-22,56.3181,49.5193,1
1997-08-25,56.1089,49.5806,1
1997-08-26,55.2818,49.6366,1
1997-08-27,55.6145,49.6944,1
1997-08-28,54.7684,49.7487,1
1997-08-29,54.9871,49.8031,1
1997-09-02,56.7744,49.865,1
1997-09-03,56.4702,49.9251,1
1997-09-04,56.8314,49.9869,1
1997-09-05,56.6698,50.0463,1
1997-09-08,56.9169,50.1066,1
1997-09-09,56.9455,50.1674,1
1997-09-10,55.7666,50.2205,1
1997-09-11,55.4815,50.2694,1
1997-09-12,56.3751,50.3234,1
1997-09-15,56.28,50.3774,1
1997-09-16,57.687,50.4376,1
1997-09-17,57.687,50.4977,1
1997-09-18,57.9342,50.563,1
1997-09-19,58.0321,50.6281,1
1997-09-22,58.3565,50.6954,1
1997-09-23,58.0893,50.7628,1
1997-09-24,57.6122,50.8244,1
1997-09-25,57.2115,50.8851,1
1997-09-26,57.6886,50.9503,1
1997-09-29,58.242,51.022,1
1997-09-30,57.6313,51.09,1
1997-10-01,58.3947,51.1647,1
1997-10-02,58.719,51.2392,1
1997-10-03,59.0149,51.3135,1
1997-10-06,59.406,51.3852,1
1997-10-07,59.9595,51.4591,1
1997-10-08,59.5397,51.5314,1
1997-10-09,59.3297,51.601,1
1997-10-10,59.158,51.6681,1
1997-10-13,59.2152,51.7351,1
1997-10-14,59.2343,51.8042,1
1997-10-15,59.1007,51.8768,1
1997-10-16,58.1657,51.9441,1
1997-10-17,57.5741,52.0053,1
1997-10-20,58.3947,52.0726,1
1997-10-21,59.5301,52.1428,1
1997-10-22,59.1389,52.213,1
1997-10-23,57.9748,52.2755,1
1997-10-24,57.4023,52.3327,1
1997-10-27,53.2422,52.3694,1
1997-10-28,56.3146,52.4187,1
1997-10-29,56.1619,52.4677,1
1997-10-30,54.9215,52.5096,1
1997-10-31,56.2192,52.5565,1
1997-11-03,57.4023,52.6091,1
1997-11-04,57.4023,52.6598,1
1997-11-05,57.5932,52.7097,1
1997-11-06,57.3737,52.7619,1
1997-11-07,56.7535,52.814,1
1997-11-10,56.41,52.865,1
1997-11-11,56.4291,52.9154,1
1997-11-12,55.265,52.9578,1
1997-11-13,56.0665,53.0012,1
1997-11-14,56.8298,53.0486,1
1997-11-17,57.8794,53.1006,1
1997-11-18,57.5168,53.1493,1
1997-11-19,57.8031,53.204,1
1997-11-20,58.6809,53.2614,1
1997-11-21,59.0817,53.3177,1
1997-11-24,58.013,53.3709,1
1997-11-25,58.1657,53.4221,1
1997-11-26,58.3374,53.4708,1
1997-11-28,58.3947,53.5171,1
1997-12-01,59.9022,53.5715,1
1997-12-02,59.5397,53.622,1
1997-12-03,59.7114,53.6751,1
1997-12-04,59.6542,53.7308,1
1997-12-05,60.4175,53.7903,1
1997-12-08,60.2457,53.846,1
1997-12-09,59.8832,53.8997,1
1997-12-10,59.3679,53.9532,1
1997-12-11,58.3565,54.0053,1
1997-12-12,58.471,54.0587,1
1997-12-15,59.0625,54.1135,1
1997-12-16,59.4252,54.1714,1
1997-12-17,59.1198,54.2237,1
1997-12-18,58.5473,54.2745,1
1997-12-19,58.1111,54.321,1
1997-12-22,58.4848,54.3669,1
1997-12-23,57.4406,54.4088,1
1997-12-24,57.2681,54.452,1
1997-12-26,57.498,54.5002,1
1997-12-29,58.6285,54.5528,1
1997-12-30,59.5481,54.6093,1
1997-12-31,59.5098,54.6682,1
1998-01-02,59.8164,54.7295,1
1998-01-05,59.9505,54.7926,1
1998-01-06,58.9925,54.8499,1
1998-01-07,59.1458,54.9046,1
1998-01-08,58.6285,54.9591,1
1998-01-09,56.5976,55.0024,1
1998-01-12,57.6322,55.0572,1
1998-01-13,58.4369,55.121,1
1998-01-14,58.7051,55.1847,1
1998-01-15,58.2165,55.25,1
1998-01-16,59.05,55.3182,1
1998-01-20,60.008,55.3885,1
1998-01-21,59.4332,55.4549,1
1998-01-22,58.9063,55.517,1
1998-01-23,58.8201,55.5806,1
1998-01-26,58.7818,55.6449,1
1998-01-27,59.3757,55.7194,1
1998-01-28,59.9121,55.7937,1
1998-01-29,60.2379,55.8657,1
1998-01-30,60.2762,55.9352,1
1998-02-02,61.2725,56.0107,1
1998-02-03,61.7323,56.0874,1
1998-02-04,61.6557,56.1652,1
1998-02-05,61.6174,56.2377,1
1998-02-06,62.3071,56.3134,1
1998-02-09,62.0963,56.3893,1
1998-02-10,62.6903,56.4708,1
1998-02-11,62.6328,56.5498,1
1998-02-12,62.901,56.6227,1
1998-02-13,62.537,56.6927,1
1998-02-17,62.8436,56.7645,1
1998-02-18,63.4184,56.8348,1
1998-02-19,63.0831,56.8976,1
1998-02-20,63.5525,56.9629,1
1998-02-23,63.8016,57.0349,1
1998-02-24,63.3034,57.1028,1
1998-02-25,64.0889,57.1728,1
1998-02-26,64.453,57.2405,1
1998-02-27,64.453,57.3093,1
1998-03-02,64.3189,57.3769,1
1998-03-03,64.6829,57.4446,1
1998-03-04,64.2614,57.5138,1
1998-03-05,63.6674,57.5792,1
1998-03-06,64.9512,57.648,1
1998-03-09,64.7212,57.7162,1
1998-03-10,65.3343,57.7883,1
1998-03-11,65.6409,57.8596,1
1998-03-12,65.9091,57.9312,1
1998-03-13,65.66,58.0016,1
1998-03-16,66.369,58.077,1
1998-03-17,66.5606,58.1518,1
1998-03-18,66.8096,58.2289,1
1998-03-19,66.9821,58.3078,1
1998-03-20,67.5574,58.3898,1
1998-03-23,67.4037,58.4701,1
1998-03-24,67.9801,58.5482,1
1998-03-25,67.7303,58.6238,1
1998-03-26,67.6919,58.6984,1
1998-03-27,67.4037,58.7709,1
1998-03-30,67.3653,58.8381,1
1998-03-31,67.5959,58.9042,1
1998-04-01,68.1435,58.973,1
1998-04-02,68.8832,59.0458,1
1998-04-03,69.229,59.1213,1
