ticker,signal_date,k_strength,executed,gap_filtered,exit_reason,entry_date,entry_price,stop_loss,R,exit_date,exit_price,pnl_r
A,2005-08-30,2.4312459145441054,True,False,trailing_stop,2005-08-31,19.114768859706423,18.274300953513553,0.8404679061928704,2005-10-05,19.13614701380135,0.02543601479295481
A,2005-09-01,0.4042004867829305,False,False,trailing_stop,2005-09-02,19.275944111801554,18.45859029871451,0.8173538130870455,2005-10-05,19.13614701380135,-0.17103620948706222
A,2005-09-12,2.1459367173734405,False,False,trailing_stop,2005-09-13,19.669945815854682,18.892456620390114,0.7774891954645682,2005-10-05,19.13614701380135,-0.6865674856540941
A,2005-09-16,2.664226303824399,False,False,stop_loss,2005-09-19,20.1475100479028,19.377414573183156,0.7700954747196427,2005-09-30,19.475744857317835,-0.872314164460612
A,2005-11-15,4.863202117046905,False,False,trailing_stop,2005-11-16,20.44599892234802,19.617037507474468,0.8289614148735538,2005-12-28,20.37535292696179,-0.0852222963803555
A,2007-05-15,5.207456481799825,False,False,trailing_stop,2007-05-16,23.73992907449366,22.765681331476504,0.9742477430171554,2007-07-27,24.1856997663016,0.45755373312688363
A,2009-08-18,7.8522637679958205,True,False,trailing_stop,2009-08-19,15.934325699479006,14.922491527304874,1.0118341721741313,2009-10-02,16.69920449739585,0.7559329571498337
A,2010-03-05,2.7898230313759695,False,False,trailing_stop,2010-03-08,20.977561859456376,20.133746643642418,0.843815215813958,2010-05-06,21.82719688544452,1.0068970197089544
A,2010-03-09,0.8181507203952517,False,False,trailing_stop,2010-03-10,21.034574965713606,20.22347266639934,0.8111022993142676,2010-05-06,21.82719688544452,0.9772157228515082
A,2010-04-15,3.5454942729857803,False,False,trailing_stop,2010-04-16,22.517136848193903,21.787954907740172,0.7291819404537314,2010-05-05,22.08011915893924,-0.5993259912371528
A,2010-12-10,1.2877661228356594,False,False,trailing_stop,2010-12-13,24.417854056148652,23.37733022653814,1.0405238296105104,2011-01-31,26.05731497831828,1.5756111253918264
A,2010-12-17,2.0130712531010633,False,False,trailing_stop,2010-12-20,25.406228722591983,24.325272038708942,1.0809566838830413,2011-01-31,26.05731497831828,0.602324094419259
A,2011-03-04,9.177925871345796,False,False,stop_loss,2011-03-07,29.309039638363636,27.541995417898168,1.7670442204654684,2011-03-16,27.562209950617316,-0.988560256452539
A,2011-05-13,4.470518696420988,False,False,stop_loss,2011-05-16,33.06611430915156,31.368229328916414,1.6978849802351448,2011-05-24,31.134737888415977,-1.1375189975872806
A,2013-05-15,3.889019591046819,False,False,trailing_stop,2013-05-16,29.154116172258753,27.943928259293603,1.21018791296515,2013-06-06,28.500234752725383,-0.540313956641046
A,2013-09-19,3.365811080452054,False,False,trailing_stop,2013-09-20,32.83931308408685,31.64429579079187,1.1950172932949776,2013-11-08,32.27645362376538,-0.47100528459259156
A,2013-11-15,8.686188637942836,False,False,trailing_stop,2013-11-18,35.12111068786724,33.7270265501809,1.3940841376863347,2014-01-27,37.35760393056701,1.6042742200707671
A,2013-12-18,2.6964970994786865,False,False,trailing_stop,2013-12-19,37.133554166518714,35.81020932594037,1.3233448405783435,2014-01-27,37.35760393056701,0.16930565426195252
A,2016-05-11,1.0952605756331262,False,False,trailing_stop,2016-05-12,39.38687809023771,37.98466178075823,1.4022163094794777,2016-06-27,40.26803341144052,0.6284018487346712
A,2016-05-17,3.4233817200335825,True,False,trailing_stop,2016-05-18,41.106978087821936,39.606894369812494,1.5000837180094422,2016-06-27,40.26803341144052,-0.5592652372060049
