ticker,entry_date,orig_exit_date,orig_net_pnl,orig_exit_reason,shares,entry_commission,entry_price,stop_loss,R,be1r_triggered,be1r_exit_date,be1r_exit_price,be1r_net_pnl,be1r_exit_reason,be15r_triggered,be15r_exit_date,be15r_exit_price,be15r_net_pnl,be15r_exit_reason,be2r_triggered,be2r_exit_date,be2r_exit_price,be2r_net_pnl,be2r_exit_reason
FDX,2002-01-07,2002-01-14,-34163.045348496315,stop_loss,21045,176.03255488331317,27.8819283888989,26.41761873302062,1.464309655878278,False,,,,,False,,,,,False,,,,
FDX,2003-04-16,2003-06-25,9740.854636603655,trailing_stop,19032,176.9493214903069,30.991544327151967,29.548475712346033,1.4430686148059344,False,,,,,False,,,,,False,,,,
FDX,2004-09-13,2004-09-23,-18191.132411631188,trailing_stop,17347,234.7007727116334,45.0992049944531,43.73786371590871,1.361341278544394,True,,,,,True,,,,,True,,,,
FDX,2004-12-09,2004-12-17,-5934.784242095067,stop_loss,7994,124.57233928466408,51.94409944319242,50.3818520237017,1.562247419490724,True,,,,,True,,,,,True,,,,
FDX,2005-12-22,2006-01-13,-25019.174822526635,stop_loss,16894,275.07884631155963,54.27545209572622,52.41746384791979,1.857988247806432,True,,,,,True,,,,,True,,,,
FDX,2009-12-09,2009-12-18,-69673.11881786383,stop_loss,24135,351.24755676361247,48.51150566447241,46.18903733166405,2.3224683328083557,True,,,,,True,,,,,True,,,,
FDX,2016-09-28,2016-10-14,-26843.92068870039,stop_loss,9533,283.2370499811522,99.0373964058716,95.83411237505692,3.203284030814686,True,,,,,True,,,,,True,,,,
FDX,2016-11-08,2016-12-30,87642.71856405397,trailing_stop,18600,560.1586945569064,100.38686282381836,97.55437030192668,2.8324925218916803,True,2016-12-30,130.10081168692668,551393.3276300447,trailing_stop,True,2016-12-30,130.10081168692668,551393.3276300447,trailing_stop,True,2016-12-30,130.10081168692668,551393.3276300447,trailing_stop
FDX,2020-09-15,2020-12-29,312504.4447431259,trailing_stop,18379,762.9802683943799,138.37899566432338,130.75548514008872,7.623510524234661,True,2020-12-29,192.22875926162232,987881.9331764219,trailing_stop,True,2020-12-29,192.22875926162232,987881.9331764219,trailing_stop,True,2020-12-29,192.22875926162232,987881.9331764219,trailing_stop
FDX,2024-06-27,2024-08-05,-113633.4271416229,trailing_stop,19549,1080.0567798412212,184.16232370645068,175.9120887632408,8.250234943209875,True,,,,,True,,,,,True,,,,
INTC,2002-01-04,2002-01-17,-36316.8536410432,stop_loss,28418,176.14371765268925,20.66105023256261,19.221983457707797,1.4390667748548118,False,,,,,False,,,,,False,,,,
INTC,2003-10-16,2003-11-18,20994.068824502898,trailing_stop,38655,209.921125870544,18.102110625666707,17.151463228050456,0.950647397616251,False,,,,,False,,,,,False,,,,
INTC,2009-07-23,2009-10-02,-1403.4065790911245,trailing_stop,44891,164.30211471420034,12.2000783166782,11.523167357446363,0.6769109592318348,True,2009-10-02,12.164753548813454,-1913.8926543984148,trailing_stop,True,2009-10-02,12.164753548813454,-1913.8926543984148,trailing_stop,False,2009-10-02,12.164753548813454,-1913.8926543984148,trailing_stop
INTC,2011-05-05,2011-05-26,-50809.528707915306,stop_loss,86056,410.9801148751461,15.919095893958437,15.272726796595707,0.6463690973627294,False,2011-05-26,15.330065015070993,-51496.39465089409,stop_loss,False,2011-05-26,15.330065015070993,-51496.39465089409,stop_loss,False,2011-05-26,15.330065015070993,-51496.39465089409,stop_loss
INTC,2012-01-23,2012-04-24,27262.02283793924,trailing_stop,34454,188.45241029095337,18.23227204300936,17.465743526829243,0.7665285161801165,True,2012-04-24,19.03381073338601,27231.02435344369,trailing_stop,True,2012-04-24,19.03381073338601,27231.02435344369,trailing_stop,True,2012-04-24,19.03381073338601,27231.02435344369,trailing_stop
INTC,2014-04-09,2014-04-29,-43137.907680957,stop_loss,89894,545.709565636713,20.235298078355733,19.566267800526383,0.6690302778293464,False,2014-04-29,19.769812138492195,-42923.25889144283,stop_loss,False,2014-04-29,19.769812138492195,-42923.25889144283,stop_loss,False,2014-04-29,19.769812138492195,-42923.25889144283,stop_loss
INTC,2014-07-17,2014-08-06,-83273.83621391868,stop_loss,75148,584.3270400119601,25.918943951134658,25.08828138827701,0.8306625628576434,False,2014-08-06,24.823894321012347,-83434.75644757404,stop_loss,False,2014-08-06,24.823894321012347,-83434.75644757404,stop_loss,False,2014-08-06,24.823894321012347,-83434.75644757404,stop_loss
INTC,2016-09-19,2016-10-14,-14898.781899230797,stop_loss,30772,282.2978804875677,30.579518229512512,29.63598459418638,0.9435336353261334,False,2016-10-14,30.10315911377691,-15218.720913578227,stop_loss,False,2016-10-14,30.10315911377691,-15218.720913578227,stop_loss,False,2016-10-14,30.10315911377691,-15218.720913578227,stop_loss
INTC,2017-10-03,2017-12-06,255507.59983794292,trailing_stop,70609,689.4601459823255,32.54826561214224,31.662480217547408,0.88578539459483,True,2017-12-06,36.17964772668531,254952.4169558894,trailing_stop,True,2017-12-06,36.17964772668531,254952.4169558894,trailing_stop,True,2017-12-06,36.17964772668531,254952.4169558894,trailing_stop
INTC,2026-04-09,2026-06-08,5398314.13288258,trailing_stop,103061,1807.4343487199997,58.45839999999999,52.56071443621787,5.897685563782119,True,2026-06-08,110.889,5398314.13288258,trailing_stop,True,2026-06-08,110.889,5398314.13288258,trailing_stop,True,2026-06-08,110.889,5398314.13288258,trailing_stop
IP,2002-03-05,2002-03-14,-23246.03661564043,stop_loss,32601,175.43424020194175,17.937511139938625,17.0687141023088,0.8687970376298253,False,,,,,False,,,,,False,,,,
IP,2016-07-18,2016-09-30,97451.67405215355,trailing_stop,67080,565.3021963975788,28.090945954958197,26.927165655585473,1.1637802993727249,True,2016-09-30,29.457409402758035,90504.26497519444,trailing_stop,True,2016-09-30,29.457409402758035,90504.26497519444,trailing_stop,True,2016-09-30,29.457409402758035,90504.26497519444,trailing_stop
IP,2024-11-01,2024-12-10,19472.838497245542,trailing_stop,36051,555.4195809914232,51.354986083735376,48.889203555155134,2.4657825285802417,True,2024-12-10,51.95177595566233,20397.578049353826,trailing_stop,True,2024-12-10,51.95177595566233,20397.578049353826,trailing_stop,True,2024-12-10,51.95177595566233,20397.578049353826,trailing_stop
LEN,2002-03-05,2002-03-18,-37137.10997803956,stop_loss,29657,175.4338958647294,19.71809869111614,18.44412540329223,1.2739732878239105,False,,,,,False,,,,,False,,,,
LEN,2003-05-08,2003-07-18,141666.58167450933,trailing_stop,28698,178.78958026732465,20.766787495914308,19.77879292720809,0.9879945687062168,False,,,,,False,,,,,False,,,,
LEN,2003-10-02,2004-01-09,75072.21102920538,trailing_stop,21790,199.89736113822408,30.57937297509929,28.95771099605464,1.6216619790446458,False,,,,,False,,,,,False,,,,
LEN,2012-09-24,2012-09-25,-30387.032858649713,stop_loss,23355,227.1172516477247,32.41522181513233,30.587438890217296,1.8277829249150308,False,2012-09-25,31.144538531455094,-30122.139551150136,stop_loss,False,2012-09-25,31.144538531455094,-30122.139551150136,stop_loss,False,2012-09-25,31.144538531455094,-30122.139551150136,stop_loss
LEN,2017-03-09,2017-03-23,-66837.68348478973,stop_loss,48103,649.7993593317124,45.02833221293975,43.320450145327946,1.7078820676118056,False,2017-03-23,43.685995601055374,-65850.6456347252,stop_loss,False,2017-03-23,43.685995601055374,-65850.6456347252,stop_loss,False,2017-03-23,43.685995601055374,-65850.6456347252,stop_loss
LEN,2017-11-10,2018-01-30,232513.15645997773,trailing_stop,46505,719.0070004648074,51.53617893880998,49.43421485313369,2.1019640856762933,True,2018-01-30,56.59294937779838,233656.54573144612,trailing_stop,True,2018-01-30,56.59294937779838,233656.54573144612,trailing_stop,True,2018-01-30,56.59294937779838,233656.54573144612,trailing_stop
LEN,2019-10-03,2019-11-06,13530.95736612812,trailing_stop,42966,659.9814440461864,51.20183742542061,49.01506489651935,2.1867725289012583,True,2019-11-06,51.570947690966825,14534.471023865626,trailing_stop,True,2019-11-06,51.570947690966825,14534.471023865626,trailing_stop,False,2019-11-06,51.570947690966825,14534.471023865626,trailing_stop
LEN,2023-06-16,2023-08-03,52252.531687401955,trailing_stop,14920,500.2767782478191,111.76871721354314,106.90814798476448,4.860569228778672,True,2023-07-07,111.3023981798141,-7955.946295737884,trailing_stop,True,2023-08-03,115.35161480572458,52440.24146922883,trailing_stop,True,2023-08-03,115.35161480572458,52440.24146922883,trailing_stop
WFC-WS,2002-03-18,2002-03-22,-9661.30311568955,stop_loss,5751,87.64653397499998,50.800749999999994,49.1101673784741,1.6905826215258912,False,,,,,False,,,,,False,,,,
WFC-WS,2006-04-28,2006-05-18,-6892.660923882531,trailing_stop,7156,144.0009293658936,67.07701200199999,65.4822273872177,1.5947846147822844,False,,,,,False,,,,,False,,,,
WFC-WS,2006-06-09,2006-06-14,-18194.2717689988,stop_loss,6770,141.33630902090695,69.58951699699999,67.59717983345507,1.9923371635449172,False,,,,,False,,,,,False,,,,
WFC-WS,2006-07-20,2006-08-10,-21131.95529969385,trailing_stop,12787,272.520268856936,71.04097100099999,68.89278590492502,2.148185096074968,False,,,,,False,,,,,False,,,,
WFC-WS,2007-08-20,2007-09-10,-26945.64990721839,stop_loss,13648,152.5459656664944,37.257221001,34.92225862984443,2.33496237115557,False,,,,,False,,,,,False,,,,
WFC,2002-03-18,2002-03-22,-9661.526382789529,stop_loss,22503,87.6485073375806,12.983232952284968,12.551671109288828,0.4315618429961407,False,,,,,False,,,,,False,,,,
WFC,2006-04-28,2006-05-18,-2240.148984480834,trailing_stop,24887,143.99380648397332,19.2863484930517,18.827586662478836,0.4587618305728647,True,2006-05-18,19.255702412483657,-1050.4478133627222,trailing_stop,True,2006-05-18,19.255702412483657,-1050.4478133627222,trailing_stop,False,2006-05-18,19.255702412483657,-1050.4478133627222,trailing_stop
WFC,2006-06-09,2006-06-14,-36388.57350737338,stop_loss,46633,282.6723370114484,20.205458009810535,19.630089506063676,0.5753685037468586,False,2006-06-14,19.485413882531265,-34133.08911610085,stop_loss,False,2006-06-14,19.485413882531265,-34133.08911610085,stop_loss,False,2006-06-14,19.485413882531265,-34133.08911610085,stop_loss
WFC,2006-07-20,2006-08-10,-7133.224048681011,trailing_stop,22019,136.25504367729678,20.626889455666586,20.003798351287006,0.6230911043795793,True,2006-08-10,20.3667001345031,-5999.900017454613,trailing_stop,True,2006-08-10,20.3667001345031,-5999.900017454613,trailing_stop,False,2006-08-10,20.3667001345031,-5999.900017454613,trailing_stop
WFC,2007-08-20,2007-09-10,-53890.72261274493,stop_loss,45168,305.08881018590944,22.51511469668123,21.11023052933895,1.404884167342285,False,,,,,False,,,,,False,,,,
