ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
IWM,2003-06-02,32.809559265915176,2003-06-10,32.828863405872866,18944,31.869239702880304,0.4701597815174371,0.9403195630348726,365.6976273584769,-7.338656369828897,0.020529339935655425,trailing_stop,8,0.020529339935655425,186.46328722004912,186.57299650825667
IWM,2003-07-10,35.06759406362993,2003-07-18,34.07362374154508,17734,33.89595629456827,0.5858188845308302,1.171637769061661,-17627.06969185283,-17994.914798819922,-0.8483597476384742,stop_loss,8,-0.8483597476384742,186.56661393732398,181.2784930297681
MDY,2003-09-04,73.00825571843804,2003-09-26,71.23272965761623,8463,71.11887878862392,0.9446884649070573,1.8893769298141194,-15026.277052734926,-15392.49049050619,-0.9397415797791515,trailing_stop,22,-0.9397415797791515,185.36066044354232,180.85277732772184
XLF,2003-09-19,13.489961084130229,2003-09-26,13.066583019387233,23045,13.11700633123457,0.1864773764478291,0.3729547528956587,-9756.74750200235,-9940.346169662018,-1.1351995421853345,stop_loss,7,-1.1351995421853345,93.26284595513435,90.33582170453364
MDY,2003-12-02,80.16057876196182,2003-12-08,78.20444362402331,7720,78.24326560370646,0.9586565791276775,1.9173131582553538,-15101.363264885244,-15468.136656731185,-1.0202481162328616,stop_loss,6,-1.0202481162328616,185.65190041270355,181.121491433238
MDY,2003-12-31,80.93688483217194,2004-02-05,81.26886212383562,3845,79.07185714713712,0.932513842517406,1.8650276850348178,1276.4526864468362,1089.3483573330816,0.17800126739538394,trailing_stop,36,0.17800126739538394,93.36069665391032,93.74363245984439
EFA,2004-01-02,24.157915350511374,2004-02-05,24.400422722335048,25794,23.655453209249277,0.2512310706310489,0.5024621412620967,6255.235148819844,5879.481017144544,0.4826380972993069,trailing_stop,34,0.4826380972993069,186.93878056532714,188.81535110997305
DIA,2003-12-19,63.09365512689928,2004-03-10,64.26457540814684,9857,61.91269906425358,0.590478031322849,1.1809560626456985,11541.761212257208,11165.150188742024,0.9915019857930579,trailing_stop,82,0.9915019857930579,186.57424757575384,190.036775939431
XLF,2004-02-12,15.568293863091156,2004-03-11,15.252339927225878,20119,15.210838467498164,0.17872769779649655,0.3574553955929929,-6356.677235673547,-6542.701335041764,-0.8838975149364693,trailing_stop,28,-0.8838975149364693,93.96555126945931,92.05854809875723
EWJ,2004-03-25,29.842040045625637,2004-04-16,29.838608826928194,21087,28.839975590644137,0.5010322274907508,1.0020644549815003,-72.35410867298535,-449.8998615056481,-0.0034241496945489136,trailing_stop,22,-0.0034241496945489136,188.78372953263232,188.76202330003045
TLT,2004-09-23,43.92724570112523,2004-10-01,42.95501674598825,14310,43.29964278905711,0.3138014560340605,0.6276029120681201,-13912.59634801014,-14285.581900695597,-1.5491147928763132,stop_loss,8,-1.5491147928763132,188.5796657949306,184.40588689052757
TLT,2004-12-16,44.58168578385766,2004-12-20,43.98774483048615,14124,43.91745005888149,0.3321178624880834,0.6642357249761659,-8388.822025419176,-8764.108416818275,-0.8941719498643643,stop_loss,4,-0.8941719498643643,188.90151900336164,186.38487239573593
MDY,2004-11-05,87.24695101881993,2005-01-05,89.90351879393621,3600,85.23177901218416,1.00758600331788,2.0151720066357655,9563.643990418632,9372.321483020854,1.3182833854224192,trailing_stop,61,1.3182833854224192,94.22670710032553,97.0958002974511
TLT,2005-01-14,44.7553747265489,2005-02-22,45.19875073592623,14035,44.132738195440844,0.31131826555402875,0.6226365311080571,6222.782291610849,5844.030446351097,0.7120944358794533,trailing_stop,39,0.7120944358794533,188.44250528613415,190.3093399736174
EEM,2005-02-25,15.878476391202057,2005-03-15,15.491377796645233,19878,15.541626234423331,0.1684250783893624,0.3368501567787252,-7694.745862600533,-7881.816851064341,-1.1491714840171678,stop_loss,18,-1.1491714840171678,94.68970611129436,92.38128235251418
MDY,2005-02-28,94.18624288531151,2005-03-21,93.07912662784388,3357,92.19305841080194,0.9965922372547874,1.993184474509576,-3716.5892763188604,-3905.184229955559,-0.5554509738693627,trailing_stop,21,-0.5554509738693627,94.85496520979723,93.73998842690156
EFA,2004-11-05,26.707731136374782,2005-03-24,28.551707853149757,23520,26.17355434729748,0.2670883945386526,0.5341767890773035,43370.33237854741,42980.42177703733,3.451997081266149,trailing_stop,139,3.451997081266149,188.44975089826045,201.46085061182467
XLE,2005-02-11,10.953985931356254,2005-04-18,10.874997829397666,57534,10.621196609381416,0.1663946609874188,0.3327893219748379,-4544.501458085407,-4921.274083592771,-0.23735167189216588,trailing_stop,66,-0.23735167189216588,189.0679879723952,187.70463753496958
TLT,2005-06-01,48.24584464021731,2005-06-14,47.56781209047475,13115,47.56287687029221,0.3414838849625505,0.6829677699250993,-8892.396889873591,-9269.3757222805,-0.9927738607883547,trailing_stop,13,-0.9927738607883547,189.82327573693502,187.1555566699729
IJR,2005-07-06,21.278498141542617,2005-08-09,21.65548787520528,29713,20.76508544723274,0.25670634715493956,0.5134126943098778,11201.49595631876,10818.78669836407,0.7342820655601615,trailing_stop,34,0.7342820655601615,189.67440458389675,193.03485337079235
IWM,2005-07-06,49.242474657403115,2005-08-09,49.80932109760137,6420,47.961794037855505,0.6403403097738048,1.28068061954761,3639.1541460727954,3448.3803874486566,0.44261342878639687,trailing_stop,34,0.44261342878639687,94.84100619015841,95.93275243398023
IBB,2005-07-21,24.65937844102634,2005-08-09,23.57087378282326,25699,23.965395799807105,0.3469913206096186,0.693982641219236,-27973.481211160997,-28345.32198673121,-1.568489748231631,stop_loss,19,-1.568489748231631,190.1164099667808,181.7243656034325
XLE,2005-07-25,12.992847695338194,2005-08-18,12.958642799944414,48744,12.471419792153084,0.26071395159255467,0.5214279031851099,-1667.2834210743863,-2046.777256885003,-0.06559851359093173,trailing_stop,24,-0.06559851359093173,189.99701041846947,189.49682539214714
EEM,2005-07-15,16.457675717740486,2005-08-19,16.79684777857932,19219,16.034119277041793,0.21177822034934612,0.42355644069869314,6518.547837261551,6326.81223113882,0.8007718175158433,trailing_stop,35,0.8007718175158433,94.89002088577631,96.84558523695478
GLD,2005-09-20,46.56652,2005-09-28,46.253699999999995,13689,45.70729956667262,0.4296102166636886,0.8592204333273799,-4282.192980000029,-4663.377777474029,-0.3640742094419111,stop_loss,8,-0.3640742094419111,191.234727684,189.95006979
XLE,2005-09-01,14.127449910350911,2005-10-06,13.554728633881492,44960,13.60480707193168,0.2613214192096158,0.5226428384192321,-25749.548590065097,-26122.925814269704,-1.0958177064123806,trailing_stop,35,-1.0958177064123806,190.5510443908131,182.82617981379357
EEM,2005-10-04,18.727173720375184,2005-10-06,17.734599254281722,34030,18.25774667184926,0.23471352426296116,0.46942704852592243,-33777.30908116051,-34149.54732145878,-2.1144381628845372,stop_loss,2,-2.1144381628845372,191.18571651131026,181.05252378696207
EWJ,2005-08-23,31.461140275103674,2005-10-21,32.92164758003949,20103,30.64216733937556,0.40948646786405635,0.8189729357281124,29360.578351124725,28972.292195849142,1.783340133990319,trailing_stop,59,1.783340133990319,189.73899088512272,198.54716439046018
GLD,2005-11-18,48.5485,2005-12-16,50.26968,13060,47.44431071213337,0.5520946439333111,1.1041892878666246,22478.610800000053,22091.441170760052,1.5587725935337147,trailing_stop,28,1.5587725935337147,190.21302299999996,196.95660624
IJR,2005-12-05,22.66766695067559,2005-12-20,21.937079798797235,14038,22.00550327525699,0.33108183770929794,0.6621636754185971,-10255.982438068324,-10443.830868529054,-1.1033331772790183,stop_loss,15,-1.1033331772790183,95.46261259607516,92.38581786465468
