date,spy_nav
2004-01-02,1.0
2004-01-05,1.0108783508713335
2004-01-06,1.01186730166686
2004-01-07,1.0152836191155037
2004-01-08,1.0193292631672002
2004-01-09,1.0104288048983205
2004-01-12,1.0178908383210103
2004-01-13,1.0119571605163604
2004-01-14,1.0204081357446217
2004-01-15,1.0229254331682331
2004-01-16,1.0269711401523245
2004-01-20,1.0267013748079954
2004-01-21,1.0347927258451382
2004-01-22,1.032095656781442
2004-01-23,1.028769189190988
2004-01-26,1.0417153634352694
2004-01-27,1.0310167842040205
2004-01-28,1.0192394133090104
2004-01-29,1.020228355114582
2004-01-30,1.020228355114582
2004-02-02,1.0246336233587523
2004-02-03,1.022925433168233
2004-02-04,1.0145643707305563
2004-02-05,1.0175312141285364
2004-02-06,1.0289489698210277
2004-02-09,1.029218735165357
2004-02-10,1.0325451308321056
2004-02-11,1.0435134124739334
2004-02-12,1.0397374708341713
2004-02-13,1.0350624282557173
2004-02-17,1.0444124324989654
2004-02-18,1.0398273926147108
2004-02-19,1.035961520203099
2004-02-20,1.0328148332426845
2004-02-23,1.0302076140385334
2004-02-24,1.0284095649985143
2004-02-25,1.0327249833844947
2004-02-26,1.0333543009975925
2004-02-27,1.034073486450145
2004-03-01,1.0443225826407754
2004-03-02,1.0382091152161312
2004-03-03,1.0400970860353345
2004-03-04,1.0427941640889853
2004-03-05,1.0463004033195238
2004-03-08,1.0335340816276317
2004-03-09,1.029398515795396
2004-03-10,1.0121370040787943
2004-03-11,0.9990110581944284
2004-03-12,1.0121370040787943
2004-03-15,0.9997302346570262
2004-03-16,1.0050345948485782
2004-03-17,1.01627256991103
2004-03-18,1.0165422723229642
2004-03-19,1.002020632868826
2004-03-22,0.9892991750107942
2004-03-23,0.987584904078757
2004-03-24,0.9883969504199079
2004-03-25,1.0014793107449573
2004-03-26,1.0017499718075693
2004-03-29,1.0158247891067824
2004-03-30,1.0192533219497295
2004-03-31,1.0204261985793894
2004-04-01,1.0265613961725117
2004-04-02,1.034320605246945
2004-04-05,1.040004658965934
2004-04-06,1.0366664397086118
2004-04-07,1.0342303638411843
2004-04-08,1.031884610580509
2004-04-12,1.0359446347732217
2004-04-13,1.0214186645773917
2004-04-14,1.0230426850811851
2004-04-15,1.0191630805439684
2004-04-16,1.0270125400466452
2004-04-19,1.0270125400466452
2004-04-20,1.0097798419432586
2004-04-21,1.0165465940421727
2004-04-22,1.030801903176746
2004-04-23,1.031794369174748
2004-04-26,1.0303507593039676
2004-04-27,1.0312530470508796
2004-04-28,1.0178999625071925
2004-04-29,1.0089678677806164
2004-04-30,1.0011184082779394
2004-05-03,1.0118550153436687
2004-05-04,1.0110429690011624
2004-05-05,1.017539060040175
2004-05-06,1.008787384969095
2004-05-07,0.9920960721456028
2004-05-10,0.9819008593822508
2004-05-11,0.9902013905791974
2004-05-12,0.996516998805333
2004-05-13,0.9923667332068598
2004-05-14,0.9928178770809932
2004-05-17,0.9843368540486869
2004-05-18,0.9892991750107943
2004-05-19,0.9858706421692028
2004-05-20,0.9890285139495375
2004-05-21,0.9907427127030662
2004-05-24,0.9948929783015396
2004-05-25,1.0091482784136299
2004-05-26,1.0126669895049567
2004-05-27,1.0183511063813266
2004-05-28,1.018260864975566
2004-06-01,1.0169074965105462
2004-06-02,1.020696859642002
2004-06-03,1.0113136210412925
2004-06-04,1.019343563355491
2004-06-07,1.0348619273694595
2004-06-08,1.03630553724024
2004-06-09,1.0266516375782737
2004-06-10,1.0317041187465055
2004-06-14,1.0215089059831535
2004-06-15,1.0287267388001753
2004-06-16,1.0285463191446795
2004-06-17,1.0270125400466465
2004-06-18,1.0289411095062153
2004-06-21,1.0250473781961653
2004-06-22,1.0302088359798218
2004-06-23,1.0390829484560367
2004-06-24,1.0358230713277792
2004-06-25,1.0308426901602588
2004-06-28,1.0273111754689142
2004-06-29,1.0315671233990245
2004-06-30,1.0370907978000306
2004-07-01,1.022693074307887
2004-07-02,1.0221497176866128
2004-07-06,1.0131850985948685
2004-07-07,1.0161733291050277
2004-07-08,1.0091102906673275
2004-07-09,1.011736304560137
2004-07-12,1.0121890277943713
2004-07-13,1.0129134610317814
2004-07-14,1.00983466051966
2004-07-15,1.0033149787032338
2004-07-16,1.0024999754638615
2004-07-19,0.9982440275351064
2004-07-20,1.0109213013207643
2004-07-21,0.9922676389548771
2004-07-22,0.9949841504068491
2004-07-23,0.9866533945505531
2004-07-26,0.9847518138965092
2004-07-27,0.9939880796063518
2004-07-28,0.9969763010614997
2004-07-29,1.001232258046621
2004-07-30,1.0036771228804946
2004-08-02,1.005759852593474
2004-08-03,0.997972380917008
2004-08-04,0.9978818109164012
2004-08-05,0.9815825158238697
2004-08-06,0.9675469365089872
2004-08-09,0.9689052329832007
2004-08-10,0.9814013667662896
2004-08-11,0.9794092885517276
2004-08-12,0.9687241563670648
2004-08-13,0.9706257370211087
2004-08-16,0.9806770059703236
2004-08-17,0.9862006803726853
2004-08-18,0.9963424468810629
2004-08-19,0.9934447863715105
2004-08-20,1.0004173181936815
2004-08-23,0.9978818109164014
2004-08-24,0.9992400983356039
2004-08-25,1.0060314901552059
