date,nav,return
2004-01-02,10000000.0,0.0
2004-01-05,10001215.509907532,0.00012155099075328302
2004-01-06,10013370.608964229,0.001215362177192869
2004-01-07,10020663.66840944,0.000728332120123687
2004-01-08,10021879.178316977,0.00012130033975377152
2004-01-09,10046189.37644902,0.00242571255345414
2004-01-12,10052266.925968036,0.0006049606762603688
2004-01-13,10064422.025043387,0.0012091898439297033
2004-01-14,10054697.945783105,-0.0009661835757767134
2004-01-15,10053482.435875572,-0.00012088974866142355
2004-01-16,10046189.37644902,-0.0007254261867039036
2004-01-20,10051051.416060502,0.0004839685406368144
2004-01-21,10057128.965598179,0.0006046680378100078
2004-01-22,10064422.02504339,0.0007251631623854671
2004-01-23,10049835.906171627,-0.0014492753618110532
2004-01-26,10042542.846726416,-0.000725689405608354
2004-01-27,10054697.945783108,0.0012103606867512884
2004-01-28,10029172.237762187,-0.002538684718184636
2004-01-29,10031603.2575586,0.00024239485959354212
2004-01-30,10036465.297188742,0.0004846722408484716
2004-02-02,10040002.431012016,0.0003524282422682212
2004-02-03,10049740.551707802,0.0009699321053655563
2004-02-04,10043654.2262776,-0.0006056201549570206
2004-02-05,10036350.635765089,-0.0007271845832168555
2004-02-06,10052175.081872419,0.0015767131581612137
2004-02-09,10055826.877138004,0.0003632840888505573
2004-02-10,10042436.961195292,-0.001331557922218618
2004-02-11,10058261.40732128,0.001575757576286918
2004-02-12,10061913.202568207,0.0003630642612120205
2004-02-13,10076520.383611888,0.0014517299791407812
2004-02-17,10067999.527998408,-0.0008456148838181798
2004-02-18,10069216.793080717,0.00012090436426070994
2004-02-19,10074085.853428612,0.0004835589945029195
2004-02-20,10063130.467650514,-0.0010874818755260973
2004-02-23,10072868.588346303,0.000967702915816604
2004-02-24,10074085.853428612,0.00012084592106331726
2004-02-25,10081389.443959778,0.0007249879182518182
2004-02-26,10077737.648694193,-0.0003622313457767312
2004-02-27,10085041.239206705,0.0007247252078901312
2004-03-01,10081791.14143806,-0.00032226915999222783
2004-03-02,10072039.681007234,-0.0009672349182819895
2004-03-03,10064726.08569811,-0.0007261285241872972
2004-03-04,10073258.613568084,0.0008477655325462852
2004-03-05,10095199.399514118,0.0021781219749963387
2004-03-08,10111045.52269322,0.001569669161746834
2004-03-09,10117140.185441494,0.0006027727532820215
2004-03-10,10111045.52269322,-0.0006024096371664012
2004-03-11,10119578.050563196,0.000843881856809503
2004-03-12,10112264.45523541,-0.0007227174187740548
2004-03-15,10107388.725029329,-0.00048216007677259753
2004-03-16,10114702.320338454,0.0007235890008874257
2004-03-17,10114702.320338454,0.0
2004-03-18,10111045.52269322,-0.0003615328982921051
2004-03-19,10114702.320338454,0.0003616636516001748
2004-03-22,10120796.98310539,0.0006025548329464669
2004-03-23,10123234.84820843,0.00024087679133466544
2004-03-24,10125672.713311471,0.00024081878367887555
2004-03-25,10124453.78076928,-0.00012038040105610825
2004-03-26,10114702.320338454,-0.000963159163148819
