SYMBOL
AGG
ASHR
BIL
BKLN
BND
DIA
EEM
EFA
EMB
ETH
EWJ
EWZ
EZU
FXI
GDX
GDXJ
GLD
GOVT
HYG
IBB
IBIT
IEF
IEMG
IGV
IJH
IJR
INDA
IUSB
IWB
IWD
IWF
IWM
JAVA
JGLO
JPST
KRE
KWEB
LQD
MDY
MGK
MGV
MSOS
MUB
QQQ
RSP
SCHD
SCHF
SCHG
SCHH
SCHX
SGOV
SHV
SHY
SLV
SMH
SOXX
SPHY
SPTL
SPY
SRLN
TLT
UNG
USHY
VB
VCIT
VCLT
VEA
VIG
VNQ
VTV
VUG
VWO
VXX
XBI
XLC
XLE
XLF
XLI
XLK
XLP
XLU
XLV
XLY
XOP
XRT
