date,price_usd
2026-08-01,4030.00
2026-07-01,4041.70
2026-06-01,4006.70
2026-05-01,4541.88
2026-04-01,4629.56
2026-03-01,4670.35
2026-02-01,5277.89
2026-01-01,4865.35
2025-12-01,4322.36
2025-11-01,4217.36
2025-10-01,4002.77
2025-09-01,3836.23
2025-08-01,3415.77
2025-07-01,3285.78
2025-06-01,3266.41
2025-05-01,3289.55
2025-04-01,3273.50
2025-03-01,3086.34
2025-02-01,2876.21
2025-01-01,2798.20
2024-12-01,2624.60
2024-11-01,2651.25
2024-10-01,2746.70
2024-09-01,2664.41
2024-08-01,2503.38
2024-07-01,2409.69
2024-06-01,2326.72
2024-05-01,2327.28
2024-04-01,2285.99
2024-03-01,2231.56
2024-02-01,2044.20
2024-01-01,2039.15
2023-12-01,2062.92
2023-11-01,2044.90
2023-10-01,1984.01
2023-09-01,1848.49
2023-08-01,1939.83
2023-07-01,1964.34
2023-06-01,1919.57
2023-05-01,1965.20
2023-04-01,1990.60
2023-03-01,1969.55
2023-02-01,1826.74
2023-01-01,1928.12
2022-12-01,1824.32
2022-11-01,1768.61
2022-10-01,1632.38
2022-09-01,1660.88
2022-08-01,1708.58
2022-07-01,1766.43
2022-06-01,1817.45
2022-05-01,1847.26
2022-04-01,1911.70
2022-03-01,1953.04
2022-02-01,1900.70
2022-01-01,1796.12
2021-12-01,1828.60
2021-11-01,1775.92
2021-10-01,1783.90
2021-09-01,1756.66
2021-08-01,1815.80
2021-07-01,1814.12
2021-06-01,1771.60
2021-05-01,1904.74
2021-04-01,1767.70
2021-03-01,1715.24
2021-02-01,1728.80
2021-01-01,1849.70
2020-12-01,1895.10
2020-11-01,1779.86
2020-10-01,1879.90
2020-09-01,1893.90
2020-08-01,1970.50
2020-07-01,1971.68
2020-06-01,1770.70
2020-05-01,1725.65
2020-04-01,1716.75
2020-03-01,1604.65
2020-02-01,1626.35
2020-01-01,1580.85
2019-12-01,1523.00
2019-11-01,1456.35
2019-10-01,1506.40
2019-09-01,1487.60
2019-08-01,1526.55
2019-07-01,1430.55
2019-06-01,1413.20
2019-05-01,1296.00
2019-04-01,1285.15
2019-03-01,1291.15
2019-02-01,1325.45
2019-01-01,1322.50
2018-12-01,1281.65
2018-11-01,1220.45
2018-10-01,1217.70
2018-09-01,1183.50
2018-08-01,1206.85
2018-07-01,1219.20
2018-06-01,1250.55
2018-05-01,1303.50
2018-04-01,1316.25
2018-03-01,1323.90
2018-02-01,1320.30
2018-01-01,1343.35
2017-12-01,1296.50
2017-11-01,1282.15
2017-10-01,1270.50
2017-09-01,1284.80
2017-08-01,1322.20
2017-07-01,1273.40
2017-06-01,1242.30
2017-05-01,1275.40
2017-04-01,1268.30
2017-03-01,1251.20
2017-02-01,1253.90
2017-01-01,1211.40
2016-12-01,1151.70
2016-11-01,1173.90
2016-10-01,1273.10
2016-09-01,1317.10
2016-08-01,1311.40
2016-07-01,1357.50
2016-06-01,1320.60
2016-05-01,1217.50
2016-04-01,1290.50
2016-03-01,1235.60
2016-02-01,1234.40
2016-01-01,1116.40
2015-12-01,1060.20
2015-11-01,1065.30
2015-10-01,1141.40
2015-09-01,1115.20
2015-08-01,1132.50
2015-07-01,1095.10
2015-06-01,1171.80
2015-05-01,1189.80
2015-04-01,1204.30
2015-03-01,1179.25
2015-02-01,1205.00
2015-01-01,1263.50
2014-12-01,1199.25
2014-11-01,1184.50
2014-10-01,1173.25
2014-09-01,1210.00
2014-08-01,1285.75
2014-07-01,1295.00
2014-06-01,1313.00
2014-05-01,1254.00
2014-04-01,1292.00
2014-03-01,1294.00
2014-02-01,1327.75
2014-01-01,1246.50
2013-12-01,1201.50
2013-11-01,1245.25
2013-10-01,1333.75
2013-09-01,1335.75
2013-08-01,1392.75
2013-07-01,1331.50
2013-06-01,1203.25
2013-05-01,1410.25
2013-04-01,1472.75
2013-03-01,1602.50
2013-02-01,1591.00
2013-01-01,1674.50
2012-12-01,1664.00
2012-11-01,1728.25
2012-10-01,1718.00
2012-09-01,1781.00
2012-08-01,1657.75
2012-07-01,1622.75
2012-06-01,1569.50
2012-05-01,1567.50
2012-04-01,1662.50
2012-03-01,1660.75
2012-02-01,1788.00
2012-01-01,1738.00
2011-12-01,1574.50
2011-11-01,1704.00
2011-10-01,1718.00
2011-09-01,1629.00
2011-08-01,1826.00
2011-07-01,1613.75
2011-06-01,1508.00
2011-05-01,1537.00
2011-04-01,1531.00
2011-03-01,1431.00
2011-02-01,1409.75
2011-01-01,1333.50
2010-12-01,1410.25
2010-11-01,1375.00
2010-10-01,1336.75
2010-09-01,1311.00
2010-08-01,1233.50
2010-07-01,1168.00
2010-06-01,1240.50
2010-05-01,1214.00
2010-04-01,1175.25
2010-03-01,1109.50
2010-02-01,1112.50
2010-01-01,1082.75
2009-12-01,1104.00
2009-11-01,1172.00
2009-10-01,1044.50
2009-09-01,1001.25
2009-08-01,950.75
2009-07-01,936.50
2009-06-01,941.00
2009-05-01,972.00
2009-04-01,889.00
2009-03-01,918.50
2009-02-01,943.75
2009-01-01,918.50
2008-12-01,865.00
2008-11-01,813.50
2008-10-01,728.50
2008-09-01,897.00
2008-08-01,836.50
2008-07-01,912.00
2008-06-01,932.75
2008-05-01,879.50
2008-04-01,867.75
2008-03-01,937.25
2008-02-01,969.00
2008-01-01,923.75
2007-12-01,836.50
2007-11-01,794.75
2007-10-01,783.00
2007-09-01,737.75
2007-08-01,668.00
2007-07-01,666.75
2007-06-01,648.50
2007-05-01,656.60
2007-04-01,678.00
2007-03-01,663.50
2007-02-01,677.00
2007-01-01,645.75
2006-12-01,635.70
2006-11-01,638.40
2006-10-01,600.90
2006-09-01,601.75
2006-08-01,621.75
2006-07-01,637.00
2006-06-01,600.40
2006-05-01,654.00
2006-04-01,638.25
2006-03-01,584.00
2006-02-01,556.50
2006-01-01,569.80
2005-12-01,513.00
2005-11-01,493.80
2005-10-01,472.65
2005-09-01,473.40
2005-08-01,433.00
2005-07-01,427.15
2005-06-01,436.80
2005-05-01,416.90
2005-04-01,433.20
2005-03-01,427.50
2005-02-01,436.55
2005-01-01,423.80
2004-12-01,438.00
2004-11-01,452.00
2004-10-01,426.20
2004-09-01,412.35
2004-08-01,408.10
2004-07-01,389.60
2004-06-01,393.75
2004-05-01,393.85
2004-04-01,387.30
2004-03-01,423.00
2004-02-01,392.25
2004-01-01,401.30
2003-12-01,417.25
2003-11-01,398.10
2003-10-01,384.60
2003-09-01,384.50
2003-08-01,371.00
2003-07-01,355.75
2003-06-01,345.15
2003-05-01,365.80
2003-04-01,336.00
2003-03-01,335.35
2003-02-01,347.65
2003-01-01,370.35
2002-12-01,342.75
2002-11-01,318.25
2002-10-01,316.35
2002-09-01,322.40
2002-08-01,312.40
2002-07-01,305.50
2002-06-01,319.05
2002-05-01,327.25
2002-04-01,309.35
2002-03-01,303.00
2002-02-01,296.55
2002-01-01,281.50
2001-12-01,276.50
2001-11-01,274.70
2001-10-01,280.95
2001-09-01,290.85
2001-08-01,275.35
2001-07-01,265.55
2001-06-01,269.90
2001-05-01,266.10
2001-04-01,263.45
2001-03-01,259.05
2001-02-01,265.00
2001-01-01,266.20
2000-12-01,272.65
2000-11-01,267.00
2000-10-01,263.80
2000-09-01,274.10
2000-08-01,274.95
2000-07-01,277.40
2000-06-01,289.15
2000-05-01,272.25
2000-04-01,275.85
