ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
WYNN,2004-10-28,30.596398908655058,2004-11-22,31.063197735116365,16527,28.69332744587942,0.9515357313878198,1.9030714627756389,7714.784204926024,7409.069758806541,0.245287071763705,trailing_stop,25,0.245287071763705,151.70000542900263,154.01444069048046
PGR,2004-10-28,11.99320719522174,2004-11-22,11.934251917767124,42163,11.61601815629586,0.18859451946293915,0.37718903892587896,-2485.731363318929,-2788.387400893214,-0.15630167202764386,trailing_stop,25,-0.15630167202764386,151.70087849164025,150.95515908264457
BBWI,2004-10-29,6.978016535689882,2004-11-26,7.294614351432896,72619,6.727915218422801,0.12505065863354045,0.25010131726708096,22991.016781441955,22680.077526724363,1.2658782416764414,trailing_stop,28,1.2658782416764414,152.02097484157906,158.91827987601164
DUK,2004-10-28,15.79610504421116,2004-12-02,16.172319683320424,32012,15.316859312667468,0.23962286577184636,0.479245731543692,12043.383027165766,11736.371063452443,0.785014063448086,trailing_stop,35,0.785014063448086,151.6994744025863,155.31248931073603
XLU,2004-11-12,6.574560582317758,2004-12-02,6.4304332290942945,40186,6.415446917750546,0.07955683228360626,0.15911366456721243,-5791.901816638121,-5948.687421029742,-0.9058138005650795,trailing_stop,20,-0.9058138005650795,79.26158746830642,77.524016923315
WMB,2004-11-22,5.176178195839238,2004-12-03,5.1691827608726335,102948,4.9423489458056045,0.11691462501681675,0.23382925003363386,-720.1660389420329,-1039.676304873505,-0.02991685157266937,trailing_stop,11,-0.02991685157266937,159.86315787157739,159.64710805989475
TGT,2004-11-01,29.885515929015597,2004-12-08,30.45750892444219,17001,28.77188242530662,0.5568167518544871,1.113633503708975,9724.45291524753,9416.685385587438,0.5136276822864633,trailing_stop,37,0.5136276822864633,152.42509689275826,155.3424327673325
OVV,2004-11-22,44.03792072288152,2004-12-08,42.487952417380136,12100,42.18297064448386,0.9274750391988326,1.854950078397664,-18754.61649656679,-19068.705416065935,-0.8355849160319588,trailing_stop,16,-0.8355849160319588,159.8576522240599,154.2312672750899
HAL,2004-10-28,13.05227812368618,2004-12-09,13.812420678576794,38741,12.414363997899894,0.3189570628931432,0.6379141257862866,29448.68271901726,29136.453130127717,1.1916063999267448,trailing_stop,42,1.1916063999267448,151.6974920369179,160.53209685262308
IJR,2004-11-26,20.06347109209851,2004-12-10,19.748519869737322,27190,19.579418687111982,0.2420262024932632,0.484052404986528,-8563.5237360007,-8888.270146276394,-0.6506552164944899,stop_loss,14,-0.6506552164944899,163.65773369824757,161.0886765774473
EFA,2004-12-02,28.36282508645209,2004-12-10,27.518387980544947,9793,27.79363818379883,0.2845934513266297,0.5691869026532608,-8269.572578148658,-8433.745994018189,-1.4835849208244356,stop_loss,8,-1.4835849208244356,83.3271438214876,80.84627204804299
FDX,2004-12-09,64.26785867675362,2004-12-17,63.387600926994686,8425,62.30663012071826,0.9806142780176804,1.9612285560353584,-7416.171541719007,-7738.820715867481,-0.4488297638998189,stop_loss,8,-0.4488297638998189,162.4370128054948,160.21216134297907
BC,2004-10-28,34.71506374095348,2004-12-20,34.85072965960578,14566,33.409830468090604,0.6526166364314403,1.3052332728628784,1976.1097710894073,1672.1211670876435,0.10393997875547017,trailing_stop,53,0.10393997875547017,151.69788553521852,152.29071846654534
