ticker,category
DAL,S&P 500
DAR,S&P MidCap 400
DASH,S&P 500
DBX,S&P MidCap 400
DCI,S&P MidCap 400
DD,S&P 500
DDOG,S&P 500
DE,S&P 500
DECK,S&P 500
DELL,S&P 500
DG,S&P 500
DGX,S&P 500
DHI,S&P 500
DHR,S&P 500
DIA,ETF
DINO,S&P MidCap 400
DIS,S&P 500
DKS,S&P MidCap 400
DLB,S&P MidCap 400
DLR,S&P 500
DLTR,S&P 500
DOC,S&P 500
DOCN,S&P MidCap 400
DOCS,S&P MidCap 400
DOCU,S&P MidCap 400
DOV,S&P 500
DOW,S&P 500
DPZ,S&P 500
DRI,S&P 500
DT,S&P MidCap 400
DTE,S&P 500
DTM,S&P MidCap 400
DUK,S&P 500
DUOL,S&P MidCap 400
DVA,S&P 500
DVN,S&P 500
DXCM,S&P 500
DY,S&P MidCap 400
EA,S&P 500
EBAY,S&P 500
ECL,S&P 500
ED,S&P 500
EEFT,S&P MidCap 400
EEM,ETF
EFA,ETF
EFX,S&P 500
EG,S&P 500
EGP,S&P MidCap 400
EHC,S&P MidCap 400
EIX,S&P 500
EL,S&P 500
ELAN,S&P MidCap 400
ELF,S&P MidCap 400
ELS,S&P MidCap 400
ELV,S&P 500
EMB,ETF
EME,S&P 500
EMR,S&P 500
ENS,S&P MidCap 400
ENSG,S&P MidCap 400
ENTG,S&P MidCap 400
EOG,S&P 500
EPR,S&P MidCap 400
EQH,S&P MidCap 400
EQIX,S&P 500
EQR,S&P 500
EQT,S&P 500
ERIE,S&P 500
ES,S&P 500
ESAB,S&P MidCap 400
ESNT,S&P MidCap 400
ESS,S&P 500
ETH,ETF
ETN,S&P 500
ETR,S&P 500
EVR,S&P MidCap 400
EVRG,S&P 500
EW,S&P 500
EWBC,S&P MidCap 400
EWJ,ETF
EWZ,ETF
EXC,S&P 500
EXE,S&P 500
EXEL,S&P MidCap 400
EXLS,S&P MidCap 400
EXP,S&P MidCap 400
EXPD,S&P 500
EXPE,S&P 500
EXPO,S&P MidCap 400
EXR,S&P 500
EZU,ETF
F,S&P 500
FAF,S&P MidCap 400
FANG,S&P 500
FAST,S&P 500
FBIN,S&P MidCap 400
FCFS,S&P MidCap 400
FCN,S&P MidCap 400
FCX,S&P 500
FDS,S&P 500
FDX,S&P 500
FDXF,S&P 500
FE,S&P 500
FFIN,S&P MidCap 400
FFIV,S&P 500
FHI,S&P MidCap 400
FHN,S&P MidCap 400
FICO,S&P 500
FIS,S&P 500
FISV,S&P 500
FITB,S&P 500
FIVE,S&P MidCap 400
FIX,S&P 500
FLEX,S&P MidCap 400
FLG,S&P MidCap 400
FLR,S&P MidCap 400
FLS,S&P MidCap 400
FN,S&P MidCap 400
FNB,S&P MidCap 400
FND,S&P MidCap 400
FNF,S&P MidCap 400
FOUR,S&P MidCap 400
FOX,S&P 500
FOXA,S&P 500
FR,S&P MidCap 400
FRT,S&P 500
FSLR,S&P 500
FTI,S&P MidCap 400
FTNT,S&P 500
FTV,S&P 500
FXI,ETF
G,S&P MidCap 400
GAP,S&P MidCap 400
GATX,S&P MidCap 400
GBCI,S&P MidCap 400
GD,S&P 500
GDDY,S&P 500
GDX,ETF
GDXJ,ETF
GE,S&P 500
GEF,S&P MidCap 400
GEHC,S&P 500
GEN,S&P 500
GEV,S&P 500
GGG,S&P MidCap 400
GHC,S&P MidCap 400
GILD,S&P 500
GIS,S&P 500
GL,S&P 500
GLD,ETF
GLPI,S&P MidCap 400
GLW,S&P 500
GM,S&P 500
GME,S&P MidCap 400
GMED,S&P MidCap 400
GNRC,S&P 500
GNTX,S&P MidCap 400
GOOG,S&P 500
GOOGL,S&P 500
GOVT,ETF
GPC,S&P 500
GPK,S&P MidCap 400
GPN,S&P 500
GRMN,S&P 500
GS,S&P 500
GT,S&P MidCap 400
GTLS,S&P MidCap 400
GWRE,S&P MidCap 400
GWW,S&P 500
GXO,S&P MidCap 400
H,S&P MidCap 400
HAE,S&P MidCap 400
HAL,S&P 500
HALO,S&P MidCap 400
HAS,S&P 500
HBAN,S&P 500
HCA,S&P 500
HD,S&P 500
HGV,S&P MidCap 400
HIG,S&P 500
HII,S&P 500
HIMS,S&P MidCap 400
HL,S&P MidCap 400
HLI,S&P MidCap 400
HLNE,S&P MidCap 400
HLT,S&P 500
HOG,S&P MidCap 400
HOMB,S&P MidCap 400
HON,S&P 500
HOOD,S&P 500
HPE,S&P 500
HPQ,S&P 500
HQY,S&P MidCap 400
HR,S&P MidCap 400
HRB,S&P MidCap 400
HRL,S&P 500
HSIC,S&P 500
HST,S&P 500
HSY,S&P 500
HUBB,S&P 500
HUM,S&P 500
HWC,S&P MidCap 400
HWM,S&P 500
HXL,S&P MidCap 400
HYG,ETF
IBB,ETF
IBIT,ETF
IBKR,S&P 500
IBM,S&P 500
IBOC,S&P MidCap 400
ICE,S&P 500
IDA,S&P MidCap 400
IDCC,S&P MidCap 400
IDXX,S&P 500
IEF,ETF
IEMG,ETF
IEX,S&P 500
IFF,S&P 500
IGV,ETF
IJH,ETF
IJR,ETF
ILMN,S&P MidCap 400
INCY,S&P 500
INDA,ETF
INGR,S&P MidCap 400
INTC,S&P 500
INTU,S&P 500
INVH,S&P 500
IP,S&P 500
IPGP,S&P MidCap 400
IQV,S&P 500
IR,S&P 500
IRM,S&P 500
IRT,S&P MidCap 400
ISRG,S&P 500
IT,S&P 500
ITT,S&P MidCap 400
ITW,S&P 500
IUSB,ETF
IVZ,S&P 500
IWB,ETF
IWD,ETF
IWF,ETF
