date,spy_nav
2004-01-02,1.0
2004-01-05,1.0108787797249636
2004-01-06,1.0118674590981442
2004-01-07,1.0152838175258299
2004-01-08,1.019329467067925
2004-01-09,1.0104288727443167
2004-01-12,1.0178907773822232
2004-01-13,1.0119571511650254
2004-01-14,1.0204077351761125
2004-01-15,1.022925829620619
2004-01-16,1.026970755839594
2004-01-20,1.0267014729752013
2004-01-21,1.0347927720593915
2004-01-22,1.0320956034767452
2004-01-23,1.0287692471115637
2004-01-26,1.0417150776497697
2004-01-27,1.031016508713563
2004-01-28,1.0192391550097972
2004-01-29,1.0202283510423493
2004-01-30,1.0202283510423493
2004-02-02,1.024633595506964
2004-02-03,1.0229258296206185
2004-02-04,1.0145644210170413
2004-02-05,1.0175314924553258
2004-02-06,1.0289492512365717
2004-02-09,1.0292186374328385
2004-02-10,1.0325456137892657
2004-02-11,1.0435128455986193
2004-02-12,1.0397375122396597
2004-02-13,1.0350629849106523
2004-02-17,1.0444124528961642
2004-02-18,1.0398273076384152
2004-02-19,1.0359615588894542
2004-02-20,1.0328149999855327
2004-02-23,1.0302077301335164
2004-02-24,1.028410065516541
2004-02-25,1.03272479125928
2004-02-26,1.0333543923693123
2004-02-27,1.034073375550603
2004-03-01,1.0443228641611573
2004-03-02,1.0382091304870769
2004-03-03,1.0400974171578024
2004-03-04,1.0427943790767
2004-03-05,1.0463003262393928
2004-03-08,1.0335341898305723
2004-03-09,1.0293986415578473
2004-03-10,1.0121372586219077
2004-03-11,0.9990111139630703
2004-03-12,1.0121372586219077
2004-03-15,0.9997305104718582
2004-03-16,1.0050348455746465
2004-03-17,1.0162726002308842
2004-03-18,1.0165421930908995
2004-03-19,1.0019716754932748
2004-03-22,0.989250798445392
2004-03-23,0.9875367293147148
2004-03-24,0.9883488145147385
2004-03-25,1.0014306297995066
2004-03-26,1.0017011526463906
2004-03-29,1.015775470583688
2004-03-30,1.0192037121769166
2004-03-31,1.0203766322819514
2004-04-01,1.026511238994638
2004-04-02,1.0342706360986176
2004-04-05,1.0399544058437886
2004-04-06,1.0366161663130642
2004-04-07,1.034179807381119
2004-04-08,1.031834173834798
2004-04-12,1.0358944965030419
2004-04-13,1.0213690316026063
2004-04-14,1.022992995338905
2004-04-15,1.0191134001187894
2004-04-16,1.0269624892896503
2004-04-19,1.0269624892896503
2004-04-20,1.0097305559378826
2004-04-21,1.0164971403937102
2004-04-22,1.0307520824472618
2004-04-23,1.0317441717722937
2004-04-26,1.030300832152249
2004-04-27,1.0312031260785257
